Country,GDP,Population,Unemployment Rate
USA,21427700,331449281,5.8
China,14342903,1439323774,3.6
Japan,5064873,126050796,2.8
Germany,3845630,83752855,3.1
UK,2827113,67948282,4.5
India,2875142,1393409038,5.4
France,2715518,67524760,8.5
Brazil,1839758,213993437,13.4
Canada,16423465,38234535,7.5
Australia,1384245,22312344,5.7
